timestamp,open,high,low,close,volume,close_time,asset_volume,trades,buy_base_asset_volume,buy_quote_asset_volume,ignore
2020-10-22 06:00:00,12762.07000000,12823.67000000,12755.14000000,12810.82000000,1885.53378300,1603349999999,24125930.84547840,29225,922.13731000,11799520.33160152,0
2020-10-22 07:00:00,12810.50000000,12810.50000000,12722.29000000,12751.55000000,1932.01236200,1603353599999,24669049.10858158,30428,855.88598000,10928090.22732751,0
2020-10-22 08:00:00,12751.54000000,12850.00000000,12736.26000000,12809.88000000,2315.50425000,1603357199999,29661899.49167182,35527,1196.44879900,15327186.21167972,0
2020-10-22 09:00:00,12809.88000000,12900.00000000,12700.00000000,12873.63000000,3695.56477100,1603360799999,47395007.16077352,57559,1746.16070600,22395094.01118202,0
2020-10-22 10:00:00,12873.62000000,12979.16000000,12846.44000000,12959.79000000,3665.96252900,1603364399999,47408454.71518197,52485,1835.56977800,23738449.63076052,0
2020-10-22 11:00:00,12959.80000000,13024.52000000,12917.00000000,12967.01000000,3811.01843800,1603367999999,49450874.99261716,53667,2025.26530300,26284834.43038986,0
2020-10-22 12:00:00,12967.01000000,12970.02000000,12801.00000000,12850.00000000,3407.19122500,1603371599999,43861206.86012106,55115,1597.12514400,20557026.04708656,0
2020-10-22 13:00:00,12850.00000000,12964.10000000,12837.98000000,12921.50000000,3137.52645100,1603375199999,40531772.10822557,44160,1409.34081700,18205392.77683956,0
2020-10-22 14:00:00,12921.49000000,12928.60000000,12840.19000000,12925.13000000,2854.93301300,1603378799999,36792602.48313187,40416,1211.66867700,15615730.00998572,0
2020-10-22 15:00:00,12925.04000000,12975.58000000,12903.55000000,12930.00000000,2554.61724300,1603382399999,33043454.74425723,38336,1359.23014600,17581910.46114064,0
2020-10-22 16:00:00,12930.00000000,13070.07000000,12915.22000000,13041.75000000,3921.60925200,1603385999999,50917301.48451929,58825,2123.60395300,27573970.40357384,0
2020-10-22 17:00:00,13041.75000000,13074.00000000,12940.00000000,13046.96000000,4122.34191800,1603389599999,53703078.59546529,50439,1864.69420300,24295062.12509635,0
2020-10-22 18:00:00,13046.97000000,13062.18000000,13001.70000000,13042.48000000,2435.81452500,1603393199999,31755866.83450810,36388,1029.95501500,13428646.04315887,0
2020-10-22 19:00:00,13042.49000000,13150.00000000,13021.00000000,13072.48000000,4237.38531300,1603396799999,55487469.68761812,51289,2137.91351900,27995395.45968474,0
2020-10-22 20:00:00,13072.47000000,13174.00000000,13072.47000000,13104.11000000,2631.02261200,1603400399999,34538366.77475447,37684,1289.24277900,16924059.54661156,0
2020-10-22 21:00:00,13104.11000000,13147.27000000,12915.00000000,13132.55000000,2796.61469900,1603403999999,36549185.50086871,59706,1386.51801700,18110292.10784735,0
2020-10-22 22:00:00,13132.54000000,13185.00000000,13002.22000000,13009.48000000,2956.83669800,1603407599999,38788575.92098739,42683,1376.97705800,18067833.65079591,0
2020-10-22 23:00:00,13009.48000000,13063.79000000,12933.18000000,12968.52000000,3661.92106700,1603411199999,47571520.07662129,50425,1647.28782100,21400251.31605408,0
2020-10-23 00:00:00,12968.84000000,12971.00000000,12831.13000000,12911.48000000,3601.57742600,1603414799999,46456129.18720698,47591,1821.88442700,23498589.78031596,0
2020-10-23 01:00:00,12911.47000000,12942.67000000,12884.59000000,12904.19000000,1581.83284000,1603418399999,20424436.57803378,21338,922.67052300,11911673.28883076,0
2020-10-23 02:00:00,12904.19000000,12991.65000000,12881.89000000,12985.00000000,1645.47328600,1603421999999,21298294.79250154,24455,831.66164000,10764335.53409135,0
2020-10-23 03:00:00,12984.99000000,13002.33000000,12950.00000000,12960.01000000,1477.69690800,1603425599999,19165731.79162107,21228,739.33176600,9589214.23952125,0
2020-10-23 04:00:00,12960.02000000,12976.25000000,12914.17000000,12919.31000000,1573.82095700,1603429199999,20367395.81981997,19852,622.35590900,8053623.45550810,0
2020-10-23 05:00:00,12919.26000000,12989.64000000,12906.47000000,12988.01000000,1654.52466100,1603432799999,21442384.89645785,22426,798.12986200,10343567.03825375,0
2020-10-23 06:00:00,12988.00000000,12990.00000000,12863.72000000,12877.31000000,2023.27438300,1603436399999,26148417.97543630,28046,812.41479900,10498280.87155431,0
2020-10-23 07:00:00,12877.31000000,12922.96000000,12862.82000000,12883.62000000,1964.32483300,1603439999999,25327677.28753754,25313,979.02342000,12622482.12822683,0
2020-10-23 08:00:00,12883.61000000,12958.51000000,12851.11000000,12917.44000000,2268.77692000,1603443599999,29314601.93281979,33889,1130.49100500,14606856.68577239,0
2020-10-23 09:00:00,12917.45000000,12997.65000000,12910.00000000,12945.20000000,2121.22607600,1603447199999,27470585.08332316,28119,1094.63538800,14177662.93542626,0
2020-10-23 10:00:00,12945.21000000,13027.69000000,12944.83000000,13015.02000000,2806.25134500,1603450799999,36439460.62035918,32939,1448.58953200,18809111.50495977,0
2020-10-23 11:00:00,13015.03000000,13026.59000000,12957.00000000,12968.96000000,2503.53475200,1603454399999,32545338.81570887,30332,1199.81145500,15597309.39195543,0
2020-10-23 12:00:00,12968.96000000,12979.89000000,12931.17000000,12974.01000000,1521.51830300,1603457999999,19712374.03029812,21936,729.05175900,9445374.23604576,0
2020-10-23 13:00:00,12974.00000000,13012.06000000,12946.90000000,12952.75000000,2050.72083500,1603461599999,26625025.73585646,26436,1134.57360700,14731615.99627322,0
2020-10-23 14:00:00,12953.43000000,12961.61000000,12902.41000000,12932.08000000,2409.86273500,1603465199999,31178310.68788060,33770,1351.13160400,17482605.09522786,0
2020-10-23 15:00:00,12931.68000000,12960.00000000,12890.85000000,12921.09000000,1992.05833600,1603468799999,25752413.15445851,28181,1025.32710100,13256323.09068591,0
2020-10-23 16:00:00,12921.10000000,12950.72000000,12720.08000000,12788.19000000,5507.93941300,1603472399999,70579363.01220720,69629,2474.21282400,31703596.25325210,0
2020-10-23 17:00:00,12788.19000000,12870.00000000,12735.08000000,12785.92000000,2360.19167500,1603475999999,30186175.63506741,31354,1219.00395100,15594439.47562298,0
2020-10-23 18:00:00,12785.92000000,12875.61000000,12785.92000000,12852.97000000,1630.57483900,1603479599999,20933826.15582287,23340,746.53331900,9584259.98290644,0
2020-10-23 19:00:00,12852.97000000,12919.00000000,12839.12000000,12918.99000000,1794.68419400,1603483199999,23107983.01731192,27162,759.50444100,9779961.03271707,0
2020-10-23 20:00:00,12919.02000000,12941.33000000,12884.28000000,12927.60000000,1754.56838300,1603486799999,22659129.79965993,26383,763.90063500,9866909.28779215,0
2020-10-23 21:00:00,12928.81000000,12933.15000000,12868.01000000,12904.83000000,1335.25664000,1603490399999,17227493.56654239,27707,661.34363500,8532168.31170258,0
2020-10-23 22:00:00,12904.83000000,12942.92000000,12891.39000000,12934.53000000,1218.46603500,1603493999999,15748516.72318751,21775,568.27628800,7345054.55588712,0
2020-10-23 23:00:00,12934.53000000,12974.00000000,12920.67000000,12923.07000000,1588.84406600,1603497599999,20569172.81102791,26112,852.06660500,11032698.02567141,0
2020-10-24 00:00:00,12923.06000000,12931.54000000,12870.00000000,12905.82000000,1202.78610700,1603501199999,15525232.38166025,21623,498.98626200,6440920.85504250,0
2020-10-24 01:00:00,12905.82000000,12973.74000000,12902.81000000,12963.76000000,1301.47403900,1603504799999,16851402.48299970,22100,649.79167400,8413498.65514478,0
2020-10-24 02:00:00,12963.76000000,12989.00000000,12946.93000000,12989.00000000,1316.08886800,1603508399999,17072182.35940137,17686,783.74920600,10167278.39152847,0
2020-10-24 03:00:00,12989.00000000,13011.16000000,12955.43000000,12967.74000000,1266.72732800,1603511999999,16453769.42014885,17834,729.62816800,9479158.36836814,0
2020-10-24 04:00:00,12967.74000000,13000.00000000,12949.90000000,12966.32000000,1180.18204400,1603515599999,15314295.59434659,16325,618.51281000,8026228.50943718,0
2020-10-24 05:00:00,12966.32000000,12974.00000000,12932.25000000,12964.71000000,861.82886600,1603519199999,11163809.06471342,13861,430.87674700,5581171.21156633,0
2020-10-24 06:00:00,12964.81000000,12979.42000000,12944.00000000,12946.76000000,1119.50437000,1603522799999,14508467.13781795,18308,538.63788700,6980914.91909827,0
2020-10-24 07:00:00,12946.76000000,12973.34000000,12914.17000000,12924.79000000,1253.89417900,1603526399999,16234132.30358437,18087,647.72608400,8387568.89623474,0
2020-10-24 08:00:00,12924.79000000,12948.63000000,12906.53000000,12931.00000000,1218.58777100,1603529999999,15752819.12430033,19587,584.27504100,7552579.98470182,0
2020-10-24 09:00:00,12931.00000000,12956.89000000,12906.42000000,12949.56000000,1138.36842500,1603533599999,14725340.22149960,17554,614.05110100,7944457.69976864,0
2020-10-24 10:00:00,12949.57000000,12990.26000000,12923.91000000,12977.09000000,1507.76895300,1603537199999,19548736.40282823,19742,831.05545600,10776437.57177682,0
2020-10-24 11:00:00,12977.09000000,12999.00000000,12958.25000000,12990.90000000,1311.06654400,1603540799999,17019499.73123265,17418,653.81475300,8487649.73269314,0
2020-10-24 12:00:00,12990.90000000,12999.00000000,12966.80000000,12976.66000000,1131.51500800,1603544399999,14689624.33613503,17346,603.04050100,7829383.64780248,0
2020-10-24 13:00:00,12976.67000000,12997.00000000,12962.83000000,12989.30000000,1192.79552900,1603547999999,15485639.95391907,16353,592.66960700,7694910.64106694,0
2020-10-24 14:00:00,12989.30000000,13090.00000000,12930.00000000,13067.01000000,4253.26588600,1603551599999,55398566.93392078,55212,2282.93775800,29734559.25431787,0
2020-10-24 15:00:00,13067.01000000,13166.73000000,13067.01000000,13100.00000000,4398.43478200,1603555199999,57718628.30009483,51744,2375.59705300,31171322.67002412,0
2020-10-24 16:00:00,13100.00000000,13124.30000000,13025.42000000,13076.94000000,2257.02993400,1603558799999,29496477.45815377,32299,1050.56226600,13730126.30777815,0
2020-10-24 17:00:00,13076.95000000,13144.51000000,13076.20000000,13126.53000000,1775.96425500,1603562399999,23293820.21668049,27408,976.61151000,12809069.00063614,0
2020-10-24 18:00:00,13126.54000000,13130.00000000,13080.00000000,13103.66000000,1117.58541300,1603565999999,14651437.25683819,21611,568.63712800,7454705.02331252,0
2020-10-24 19:00:00,13103.81000000,13130.00000000,13072.81000000,13118.24000000,1138.90739600,1603569599999,14922212.63900615,17066,495.98593600,6499575.39801431,0
2020-10-24 20:00:00,13118.24000000,13129.00000000,13083.35000000,13091.80000000,1255.48655300,1603573199999,16453482.39816262,20494,610.99361600,8007471.60444754,0
2020-10-24 21:00:00,13091.87000000,13126.58000000,13031.46000000,13059.32000000,1219.12856400,1603576799999,15957809.38550842,28342,556.88707100,7290361.01329047,0
2020-10-24 22:00:00,13059.77000000,13090.00000000,13035.73000000,13068.53000000,901.59949300,1603580399999,11784492.42500535,16602,382.31890500,4997148.62802410,0
2020-10-24 23:00:00,13068.54000000,13118.35000000,13065.50000000,13111.73000000,632.21876300,1603583999999,8277644.24170730,12219,305.39803900,3998880.10718115,0
2020-10-25 00:00:00,13111.73000000,13135.00000000,13067.39000000,13131.67000000,1054.79347300,1603587599999,13825338.54033733,19961,545.50887100,7151043.32647052,0
2020-10-25 01:00:00,13131.68000000,13166.73000000,13111.83000000,13138.84000000,1179.64593700,1603591199999,15497735.17467484,20727,599.47540600,7876406.86088080,0
2020-10-25 02:00:00,13138.84000000,13159.35000000,13117.10000000,13127.36000000,880.07547300,1603594799999,11561337.23540767,14963,389.38793900,5115049.19967411,0
2020-10-25 03:00:00,13127.36000000,13350.00000000,13127.35000000,13295.50000000,4406.16732200,1603598399999,58445279.96553683,56863,2634.09901600,34921929.87660410,0
2020-10-25 04:00:00,13295.50000000,13343.20000000,13215.00000000,13311.81000000,2576.62208100,1603601999999,34271286.02453033,39066,1199.00584800,15948402.18192350,0
2020-10-25 05:00:00,13311.80000000,13311.80000000,12888.00000000,12954.56000000,5623.36598700,1603605599999,73404425.73097610,69839,2339.05185000,30531487.26225648,0
2020-10-25 06:00:00,12954.55000000,13049.99000000,12926.98000000,13013.36000000,2483.49881800,1603609199999,32288380.18943923,45957,1153.41173000,14995864.61367512,0
2020-10-25 07:00:00,13013.37000000,13035.57000000,12991.92000000,13027.24000000,1206.65585400,1603612799999,15708279.48557837,22843,490.15856600,6380717.57743214,0
2020-10-25 08:00:00,13027.24000000,13027.93000000,12944.00000000,13018.94000000,1665.09014100,1603616399999,21636730.54990860,26413,783.25096400,10177628.45237804,0
2020-10-25 09:00:00,13018.95000000,13019.72000000,12970.70000000,12993.01000000,1318.18112800,1603619999999,17128677.01225250,20391,534.25583500,6942397.51533500,0
2020-10-25 10:00:00,12993.01000000,13001.00000000,12926.57000000,12982.00000000,1612.91452400,1603623599999,20915179.48486251,23526,705.47254300,9148284.56597096,0
2020-10-25 11:00:00,12982.00000000,12982.01000000,12895.09000000,12951.73000000,2021.36586000,1603627199999,26142846.11139815,28668,790.83502100,10228561.05969562,0
2020-10-25 12:00:00,12951.73000000,12990.00000000,12934.21000000,12972.35000000,1192.72076400,1603630799999,15473212.73022475,18792,585.52546400,7596219.27217567,0
2020-10-25 13:00:00,12972.34000000,13016.18000000,12950.04000000,12983.23000000,1104.97679600,1603634399999,14350716.57165356,18783,521.40908400,6772855.28137223,0
2020-10-25 14:00:00,12983.22000000,13003.57000000,12969.97000000,12985.98000000,894.12039200,1603637999999,11611967.57308279,14388,431.59081700,5604977.00006122,0
2020-10-25 15:00:00,12985.99000000,13002.41000000,12932.00000000,12940.74000000,1139.78032300,1603641599999,14785391.35468076,20465,531.75308000,6899189.22914503,0
2020-10-25 16:00:00,12940.51000000,13000.00000000,12910.54000000,12999.99000000,1290.95611400,1603645199999,16749823.83018400,24288,674.29529600,8748379.03145385,0
2020-10-25 17:00:00,12999.99000000,13042.94000000,12988.80000000,13001.98000000,1205.45002300,1603648799999,15685616.34830788,20319,604.78858400,7869036.40849118,0
2020-10-25 18:00:00,13001.99000000,13044.00000000,12945.00000000,12985.58000000,1003.25202100,1603652399999,13025691.50825155,18651,522.52898100,6785648.83064208,0
2020-10-25 19:00:00,12985.59000000,13046.51000000,12980.07000000,13042.16000000,1085.79407100,1603655999999,14127332.77378418,19134,551.44719500,7175521.83667297,0
2020-10-25 20:00:00,13042.17000000,13047.80000000,13014.92000000,13020.58000000,890.93872100,1603659599999,11610944.86801471,16150,357.48738900,4659103.12381086,0
2020-10-25 21:00:00,13020.58000000,13035.98000000,12993.72000000,13023.95000000,792.02786000,1603663199999,10312141.30782100,19378,306.28573400,3987778.82629722,0
2020-10-25 22:00:00,13023.94000000,13023.96000000,12981.20000000,13011.97000000,1040.59251300,1603666799999,13528362.49833446,17067,407.29914300,5294783.36721983,0
2020-10-25 23:00:00,13011.97000000,13041.29000000,13007.81000000,13028.83000000,812.59330800,1603670399999,10585352.35980953,13866,330.44274400,4304679.12749365,0
2020-10-26 00:00:00,13029.64000000,13049.99000000,12971.00000000,13049.22000000,1389.20039200,1603673999999,18082244.95192101,25996,645.13875800,8397966.76262154,0
2020-10-26 01:00:00,13049.25000000,13099.85000000,13047.34000000,13074.06000000,1303.96321200,1603677599999,17048759.58618816,22686,665.85334000,8705137.20545291,0
2020-10-26 02:00:00,13074.06000000,13120.00000000,13056.83000000,13087.70000000,1265.14056100,1603681199999,16563227.62571336,21212,624.67973900,8178080.88920243,0
2020-10-26 03:00:00,13087.69000000,13131.96000000,13084.64000000,13094.53000000,1543.41317200,1603684799999,20224087.74670414,23259,803.45665700,10528517.08629445,0
2020-10-26 04:00:00,13094.33000000,13140.67000000,13046.80000000,13109.33000000,1429.81899600,1603688399999,18726858.73768947,19905,691.87405900,9062534.98228873,0
2020-10-26 05:00:00,13109.33000000,13151.51000000,13088.87000000,13103.43000000,1691.92681000,1603691999999,22201473.60262095,19706,818.02542700,10736453.40481142,0
2020-10-26 06:00:00,13103.43000000,13112.26000000,13055.80000000,13078.06000000,1387.75294300,1603695599999,18165358.39940751,20893,750.81228700,9828641.93245561,0
2020-10-26 07:00:00,13078.05000000,13092.00000000,13010.00000000,13037.08000000,1795.30360400,1603699199999,23443417.49153130,24279,923.25452400,12055777.21584176,0
2020-10-26 08:00:00,13037.08000000,13086.00000000,12930.00000000,13054.38000000,3168.80138800,1603702799999,41231909.96925746,37870,1630.26500500,21215887.35638109,0
2020-10-26 09:00:00,13054.37000000,13103.81000000,13047.75000000,13086.72000000,1300.33711700,1603706399999,17001344.98861470,19892,634.04658600,8291142.62188418,0
2020-10-26 10:00:00,13086.73000000,13118.00000000,13060.14000000,13108.67000000,1701.64083700,1603709999999,22264306.52269954,23265,817.35323200,10696152.15706539,0
2020-10-26 11:00:00,13108.66000000,13180.00000000,13108.27000000,13145.00000000,2691.55237400,1603713599999,35396308.90235621,34332,1389.09962000,18267796.52982753,0
2020-10-26 12:00:00,13145.01000000,13161.18000000,13091.00000000,13138.54000000,2397.88886600,1603717199999,31484073.52520979,34939,1171.21476300,15379034.45693933,0
